STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,,PRCP1,months
IN023320100,25-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,26-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,27-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,28-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,29-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,30-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,31-10-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,01-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,02-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
IN023320100,03-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,20,1
IN023320100,04-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,439,1
IN023320100,05-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,66,1
IN023320100,06-11-1901,26.47,80.35,185,"KANPUR, IN",0,",,I",,0,1
